"id";"name";"cond";"vat"
"9070936";"GameBoy Pocket - Konsole #GrÃ¼n (Lautsprecher defekt, mit KopfhÃ¶rern) (gebraucht)";"1";"2"
"1002248";"GameBoy - World Cup USA 94 (Modul mit Anl.) (gebraucht)";"1";"2"
"5830623";"Atari 2600 - Defender II (NEU & OVP)";"0";"0"
"9062951";"Playstation 2 - This is Football 2003 (nur CD) (gebraucht)";"1";"2"
"9053340";"PC - Legendary (gebraucht) USK18";"1";"2"
"9074293";"Nintendo DS - Looney Tunes: Cartoon Concerto (mit OVP) (gebraucht)";"1";"2"
"9000317";"Specials - Universal Play a Long Guitar Kids Plug 'n Play Guitar mit 10 Songs      (NEU & OVP)";"0";"0"
"3691503";"Wii - EA Sports Active: Mehr Workouts (NEU & OVP) #";"0";"1"
"9032399";"PSP - Phantasy Star Portable (NEU & OVP)";"0";"0"
"9040935";"Nintendo DS - DS Pack  Reise Set weiÃŸ";"0";"0"
"5829778";"PSP - Starter Pack";"0";"0"
"4000155";"Master System - World Games (Modul) (gebraucht)";"1";"2"
"2081726";"PC - Titanic Mystery 2 Mord auf der Titanic (NEU & OVP)";"0";"0"
"9068816";"N64 - Official carry case #black (used)";"1";"2"
"9073268";"Xbox - Carve (mit OVP) (gebraucht)";"1";"2"
"9043403";"N64 - 2 Original Nintendo Controller #grau (ausgeleiert) (gebraucht)";"1";"2"
"9066937";"Playstation 1 - Small Soldiers (nur CD) (gebraucht)";"1";"2"
"4839802";"PS3 - Battlefield Bad Company 2 (mit OVP) (gebraucht) USK18";"1";"2"
"9055232";"GameBoy - Zen - Intergalactic Ninja (mit OVP) (gebraucht)";"1";"2"
"9037586";"GameBoy Advance/DS - Dragonball Z - Collectible Card Game (Modul) (gebraucht)";"1";"2"
"9061180";"Mega Drive - F22 Interceptor - Advanced Tactics Fighter (mit OVP) (gebraucht)";"1";"2"
"9020491";"PC - Alice im Wunderland ";"0";"0"
"5813248";"PC - Jules Verne Journey To the Moon";"0";"0"
"9057379";"Playstation 2 - BUZZ Das Pop-Quiz inkl. Buzzer (mit OVP) (gebraucht)";"1";"2"
"2083844";"PC - Fritz Beginner Edition 2012 (NEU & OVP)";"0";"0"
"9051396";"GameBoy - Konsole #Grau (Special Edition) (gebraucht)";"1";"2"
"9067129";"GameBoy Micro - Konsole #Silber (mit OVP ohne Schuber) (gebraucht) ";"1";"2"
"2078976";"PC - Fluch des Blutes (NEU & OVP)";"0";"0"
"9060871";"GameBoy Advance SP - Original AC Adapter (Australisch) (gebraucht) ";"1";"2"
"3789045";"Wii - Speed Force Wireless Racing Wheel [Logitech] (gebraucht)";"1";"2"
"4166871";"Mega Drive - World Series Baseball '95 (mit OVP) (US-Import) (gebraucht)";"1";"2"
"9022883";"PC - Settlers Heritage of Kings Gold";"0";"0"
"9007465";"GameBoy Advance/DS - Spyro Adventure (mit OVP) (gebraucht)";"1";"2"
"9055162";"PS3 - Killzone 2 (Platinum) (mit OVP) (gebraucht) USK18";"1";"2"
"2075232";"Xbox 360 - Champion Jockey (NEU & OVP)";"0";"0"
"5801046";"SNES - Konsole + Controller + AV Kabel + Netzteil (sehr guter Zustand) (gebraucht)";"1";"2"
"9057443";"Playstation 2 - Club Football - AC Mailand (mit OVP) (gebraucht)";"1";"2"
"9055996";"Wii - Mario & Sonic bei den Olympischen Spielen (mit OVP) (gebraucht)";"1";"2"
"5805307";"Playstation 2 - 64 MB Memory Card Speicherkarte (NEU & OVP)";"0";"2"
"9033065";"Nintendo DS - Spiderman: Web of Shadows ";"0";"0"
"9052668";"Xbox 360 - FIFA 09 (mit OVP) (gebraucht)";"1";"2"
"4000006";"Nintendo DS - Sims 2 (nur Modul) (gebraucht)";"1";"2"
"4000005";"Nintendo DS - Bomberman (nur Modul) (gebraucht)";"1";"2"
"9005642";"GameBoy Color - Mulan (Modul) (gebraucht)";"1";"0"
"8237";"Dreamcast - Tee Off Golf (nur CD mit Anleitung, ohne OVP) (gebraucht)";"1";"2"
"9021804";"PSP - Fullmetal Alchemist (NEU & OVP)";"0";"0"
"9039002";"GameBoy Advance/DS - Kong (Modul) (gebraucht)";"1";"0"
"9041093";"Nintendo DS - Touch Darts";"0";"0"
"2081213";"DVD - Outpost - Black Sun -uncut- Min: 97DD5.1WS (NEU & OVP) USK18 (Vorbestellung: Erscheint am 27.04.12)";"0";"0"
"5805663";"Jason Johnson's Pro Tips Unlimited SEGA";"0";"2"
"2075449";"Xbox 360 - Kinect Big League Sport (NEU & OVP)";"0";"0"
"9063162";"Mega Drive - Shining in the Darkness (Modul) (gebraucht)";"1";"2"
"2083468";"PC - PC Mousepad QcK Diablo 3 Wizard Edition (NEU & OVP)";"0";"0"
"7216";"NES - Super Mario Bros 3 (Modul) (PAL-B) (gebraucht)";"1";"2"
"9029093";NULL;"0";"0"
"2081309";"Wii - UFC Trainer (AT-Import) (NEU & OVP) USK18";"0";"0"
"1000799";"Playstation 1 - Original Sony Controller PSOne #rot-transparent SCPH-110 (gebraucht)";"1";"2"
"9074303";"Atari 2600 - Die Ratte und die Karotten (Modul) (gebraucht)";"1";"2"
"9075216";"(unbekannt)";"0";"0"
"2087400";NULL;"0";"0"
"9029713";"Nintendo DS - Blue Dragon Awakened Shadow";"0";"0"
"9007725";"GameBoy Advance/DS - Power Rangers - Dino Thunder (Modul) (gebraucht)";"1";"2"
"9002885";"PS3 - Fifa 2010";"0";"0"
"9038701";"GameBoy Advance/DS - Backyard Basketball (Modul) (gebraucht)";"1";"0"
"9068968";"Xbox - Barbie - Pferdeabenteuer [auch fÃ¼r Xbox 360] (mit OVP) (gebraucht)";"1";"2"
"9030760";"Mega Drive - Sonic & Knuckles (Modul) (gebraucht)";"1";"2"
"9067467";"Atari 2600 - Phantom-Panzer (mit OVP, sehr guter Zustand) (gebraucht)";"1";"2"
"2066320";"Nintendo DS - Trackmania Turbo (NEU & OVP)";"0";"0"
"2087474";NULL;"0";"0"
"9071441";"Wii - GTI Club Supermini Festa! (mit OVP) (gebraucht)";"1";"0"
"2086061";NULL;"0";"0"
"9025073";"Dreamcast - Netzkabel/Stromkabel fÃ¼r Dreamcast/Playstation 1&2/Saturn/Xbox (gebraucht) ";"1";"2"
"5835656";"PSP - Transformers 2 (NEU & OVP)";"0";"0"
"9073528";"GameBoy Color - Action Replay inkl. Pokemon Codes (auch fÃ¼r GameBoy Pocket) (mit OVP) (gebraucht)";"1";"2"
"9002558";"N64 - Turok - Rage Wars (Modul) (US-Import) (gebraucht)";"1";"0"
"9050190";"Playstation 1 - Power Move Pro Wrestling (mit OVP) (gebraucht)";"1";"2"
"9000336";"N64 - Aerofighters Assault (Modul) (gebraucht)";"1";"2"
"9065575";NULL;"0";"0"
"9037540";"GameBoy Advance - Konsole + 13 Spiele + viel ZubehÃ¶r (gebraucht) SET #1";"1";"2"
"9025005";"GameBoy - Choplifter 2 Rescue Survive (Modul) (gebraucht)";"1";"2"
"9027504";"PS3 - Splitfish FragFX Controller";"0";"0"
"9068307";"GameBoy - Mortal Kombat 1 (mit OVP) (gebraucht) NEUWERTIG";"1";"2"
"9070329";"PC - Command & Conquer: Red Alert 2 (gebraucht)";"1";"2"
"1002389";"Spieleberater - PSone Classics (gebraucht)";"1";"2"
"2083173";"Nintendo 3DS - Madagascar 3 (NEU & OVP) (Vorbestellung: Erscheint am 14.09.12)";"0";"0"
"9027518";"PSP - Valkyria Chronicles 2 (NEU & OVP)";"0";"0"
"5222364";"PSP - The Best Goals of Fifa Cup 2005/2006";"0";"0"
"4001216";"PC - Sins of a Solar Empire (nur CD) (gebraucht)";"1";"2"
"2084282";"Xbox 360 - XB360 Controller wl WildFire EVO (LCD) mit Combat Command LCD Display grau (NEU & OVP) (Vorbestellung: Ersche";"0";"0"
"4820320";"Playstation 1 - Time Crisis: Project Titan + G-Con (NEU & OVP)";"0";"0"
"9053221";"Nintendo DS - Sonic Rush (Modul) (gebraucht)";"1";"2"
"5820102";"Xbox - James Bond 007 Nightfire (mit OVP) (gebraucht)";"1";"2"
"9067516";"Playstation 2 - Controller Gamax Pad (mit OVP) (gebraucht)";"1";"2"
"5820771";"Nintendo DS - High School Musical 2 - Work This out";"0";"0"
"5801102";"Mega Drive - original Arcade Power Stick 2 Modell MK-1627-44 (gebraucht)";"1";"2"
"2081434";"PS3 - Megamind (NEU & OVP)";"0";"0"
"9064205";"Playstation 1 - Rugrats in Paris: The Movie (CD mit Anl.) (gebraucht)";"1";"2"
"9070625";"GameBoy Color - Holy Magic Century (Modul) (gebraucht)";"1";"2"
"5002115";"Xbox - Futurama [auch fÃ¼r Xbox 360] (mit OVP) (gebraucht)";"1";"0"
"1001725";"Atari Jaguar - Doom (mit OVP) (gebraucht) NEUWERTIG USK18";"1";"2"
"9059042";"Playstation 2 - Yu-Gi-Oh! - Tag Force Evolution (mit OVP) (gebraucht)";"1";"2"
"5825129";"PC - Rome Total War GOLD";"0";"0"
